DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,AT,2023,83878,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,BE,2023,30667,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,BG,2023,110996,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,CY,2023,9253,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,CZ,2023,78871,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,DE,2023,357569,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,DK,2023,42925,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,EE,2023,45336,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,EL,2023,131694,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,ES,2023,505983,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,EU27_2020,2023,4225134,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,FI,2023,338411,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,FR,2023,638475,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,HR,2023,56594,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,HU,2023,93012,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,IE,2023,69947,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,IT,2023,302079,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,LT,2023,65284,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,LU,2023,2595,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,LV,2023,64586,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,MT,2023,316,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,NL,2023,37378,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,PL,2023,311928,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,PT,2023,92227,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,RO,2023,238398,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,SE,2023,447424,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,SI,2023,20273,
ESTAT:REG_AREA3(1.0),29/04/24 11:00:00,A,TOTAL,KM2,SK,2023,49035,
