DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,AT,2023,9104772,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,BE,2023,11742796,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,BG,2023,6447710,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,CY,2023,920701,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,CZ,2023,10827529,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,DE,2023,84358845,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,DK,2023,5932654,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,EE,2023,1365884,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,EL,2023,10413982,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,ES,2023,48085361,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,EU27_2020,2023,448753823,ep
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,FI,2023,5563970,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,FR,2023,68172977,p
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,HR,2023,3850894,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,HU,2023,9599744,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,IE,2023,5271395,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,IT,2023,58997201,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,LT,2023,2857279,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,LU,2023,660809,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,LV,2023,1883008,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,MT,2023,542051,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,NL,2023,17811291,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,PL,2023,36753736,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,PT,2023,10467366,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,RO,2023,19054548,e
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,SE,2023,10521556,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,SI,2023,2116972,
ESTAT:DEMO_GIND(1.0),14/06/24 23:00:00,A,JAN,SK,2023,5428792,
